Station_ID,Company,Location,Availability,Charging_Type,Cost_per_kWh,Distance_km,Battery_Type,SOC_%,SOH_%,Cycle_Count,Range_km,Charging_Status,Charging_Speed_kW,Time_Remaining_min,Overcharge_Alert,Temperature_Alert,Tampering_Alert,Energy_Consumption_kWh_per_km,Motor_Usage_%,HVAC_Usage_%,Electronics_Usage_%,Battery_Temp_C,Coolant_Inlet_C,Coolant_Outlet_C,Coolant_Flow_L_min,Fan_Speed_RPM,Ambient_Temp_C,Thermal_Runaway_Risk,Error_Code
ST00001,ChargeZone,Ahmedabad,Occupied,Fast,8.85,45.01,LFP,92,85,96,355,Plugged In,31,81,No,Low,Yes,0.229,54,23,17,51,40,31,4.15,1694,19,Medium,None
ST00002,Electrify America,Chennai,Available,Ordinary,25.52,18.86,Lithium-ion,87,89,1481,272,Charging,169,113,Yes,Low,No,0.201,44,16,18,24,17,45,1.47,1375,44,Medium,None
ST00003,Fortum,Hyderabad,Occupied,Ordinary,22.84,26.78,LFP,94,97,843,400,Idle,179,93,Yes,Normal,Yes,0.155,46,6,6,32,35,40,2.46,4601,28,Low,E303
ST00004,BP Pulse,Hyderabad,Available,Fast,27.87,36.75,Lithium-ion,50,93,848,165,Charging,169,95,Yes,Normal,Yes,0.249,42,16,5,50,39,23,3.48,1510,23,Low,None
ST00005,Tata Power,Delhi,Occupied,Ordinary,17.77,49.75,LFP,84,72,1110,484,Idle,190,50,Yes,Normal,No,0.249,49,25,17,27,30,50,3.41,3045,35,Medium,E303
ST00006,BP Pulse,Kolkata,Occupied,Fast,19.11,41.51,NMC,88,94,1413,347,Plugged In,10,36,Yes,Low,No,0.125,69,24,12,41,27,39,2.47,4751,17,High,E202
ST00007,Electrify America,Delhi,Occupied,Fast,8.67,18.83,LFP,93,79,1354,70,Idle,100,42,No,High,Yes,0.118,48,11,9,31,43,33,1.29,4706,21,Low,E404
ST00008,ChargeZone,Bangalore,Available,Ordinary,22.61,34.98,Lithium-ion,59,74,66,175,Fast Charging,29,117,Yes,Normal,Yes,0.226,53,24,14,28,21,47,4.12,1335,30,High,E404
ST00009,ChargeZone,Delhi,Occupied,Ordinary,6.08,19.95,NMC,71,76,239,482,Fast Charging,221,101,No,Low,Yes,0.22,50,23,17,19,37,32,3.74,3812,20,Low,E404
ST00010,Fortum,Pune,Occupied,Fast,14.89,6.68,LFP,85,90,1263,76,Fast Charging,149,28,Yes,Low,No,0.173,45,5,19,25,42,24,4.78,3124,43,High,E202
ST00011,BP Pulse,Pune,Occupied,Ordinary,16.08,43.2,NMC,48,84,812,399,Charging,44,59,No,High,Yes,0.14,50,15,17,17,36,34,3.8,3336,23,Medium,E101
ST00012,Tata Power,Hyderabad,Available,Ordinary,9.03,46.54,Lithium-ion,84,97,1377,473,Idle,176,32,No,Normal,No,0.122,58,12,5,16,18,29,1.76,3810,22,Medium,E101
ST00013,Fortum,Chennai,Occupied,Ordinary,22.61,42.21,Lithium-ion,23,75,580,88,Fast Charging,13,46,Yes,Low,No,0.274,40,12,18,28,37,21,1.77,1561,24,Low,None
ST00014,Ionity,Delhi,Occupied,Fast,11.1,21.88,NMC,77,94,414,337,Fast Charging,134,119,No,Normal,Yes,0.277,50,17,11,39,43,50,2.35,1062,42,Medium,E202
ST00015,ChargeZone,Hyderabad,Available,Fast,15.73,35.35,Lithium-ion,50,92,436,139,Fast Charging,4,103,No,Low,Yes,0.269,47,17,10,52,23,40,2.14,1571,32,Medium,None
ST00016,Fortum,Bangalore,Occupied,Ordinary,6.07,44.53,NMC,87,76,503,178,Idle,32,90,Yes,High,Yes,0.256,68,16,8,22,26,31,1.7,1672,15,Low,E404
ST00017,Electrify America,Bangalore,Occupied,Ordinary,20.75,37.84,Lithium-ion,71,94,1433,498,Idle,188,21,No,High,Yes,0.144,67,15,13,50,19,44,3.59,4855,13,Low,E303
ST00018,Tata Power,Bangalore,Available,Fast,5.68,30.78,NMC,35,70,761,399,Fast Charging,216,115,Yes,Normal,No,0.138,70,10,10,42,20,23,1.46,4346,38,Low,None
ST00019,Electrify America,Hyderabad,Available,Ordinary,12.31,21.59,Lithium-ion,32,85,284,164,Charging,108,17,Yes,Low,No,0.168,66,10,17,28,27,49,2.87,1097,39,Low,E404
ST00020,ChargeZone,Pune,Occupied,Fast,22.18,38.75,Lithium-ion,74,90,1493,222,Plugged In,204,96,Yes,Low,No,0.11,63,15,11,33,26,23,3.97,1449,35,High,E303
ST00021,Ionity,Pune,Occupied,Fast,15.49,48.53,LFP,73,74,1186,277,Charging,81,37,Yes,Low,No,0.247,49,16,7,51,27,20,3.31,1577,14,Medium,E202
ST00022,ChargeZone,Kolkata,Occupied,Fast,8.11,5.87,Lithium-ion,80,85,412,182,Fast Charging,65,29,No,High,Yes,0.175,51,11,15,52,32,27,3.13,2272,28,High,E202
ST00023,Fortum,Kolkata,Occupied,Ordinary,13.43,12.43,NMC,99,89,219,414,Idle,193,103,No,Normal,No,0.177,42,9,11,54,45,39,4.63,2738,39,High,E404
